[info] Migrando 1 tabelas com concorrência=1...
[progress] users iniciando
[progress] users 0% iniciando
[progress] users 1% dump (mysqldump)
[progress] users 1% preparando schema
[progress] users 3% inserindo (1/64)
[progress] users 4% inserindo (2/64)
[progress] users 6% inserindo (3/64)
[progress] users 7% inserindo (4/64)
[progress] users 9% inserindo (5/64)
[progress] users 10% inserindo (6/64)
[progress] users 12% inserindo (7/64)
[progress] users 14% inserindo (8/64)
[progress] users 15% inserindo (9/64)
[progress] users 17% inserindo (10/64)
[progress] users 18% inserindo (11/64)
[progress] users 20% inserindo (12/64)
[progress] users 21% inserindo (13/64)
[progress] users 23% inserindo (14/64)
[progress] users 25% inserindo (15/64)
[progress] users 26% inserindo (16/64)
[progress] users 28% inserindo (17/64)
[progress] users 29% inserindo (18/64)
[progress] users 31% inserindo (19/64)
[progress] users 32% inserindo (20/64)
[progress] users 34% inserindo (21/64)
[progress] users 35% inserindo (22/64)
[progress] users 37% inserindo (23/64)
[progress] users 39% inserindo (24/64)
[progress] users 40% inserindo (25/64)
[progress] users 42% inserindo (26/64)
[progress] users 43% inserindo (27/64)
[progress] users 45% inserindo (28/64)
[progress] users 46% inserindo (29/64)
[progress] users 48% inserindo (30/64)
[progress] users 50% inserindo (31/64)
[progress] users 51% inserindo (32/64)
[progress] users 53% inserindo (33/64)
[progress] users 54% inserindo (34/64)
[progress] users 56% inserindo (35/64)
[progress] users 57% inserindo (36/64)
[progress] users 59% inserindo (37/64)
[progress] users 60% inserindo (38/64)
[progress] users 62% inserindo (39/64)
[progress] users 64% inserindo (40/64)
[progress] users 65% inserindo (41/64)
[progress] users 67% inserindo (42/64)
[progress] users 68% inserindo (43/64)
[progress] users 70% inserindo (44/64)
[progress] users 71% inserindo (45/64)
[progress] users 73% inserindo (46/64)
[progress] users 75% inserindo (47/64)
[progress] users 76% inserindo (48/64)
[progress] users 78% inserindo (49/64)
[progress] users 79% inserindo (50/64)
[progress] users 81% inserindo (51/64)
[progress] users 82% inserindo (52/64)
[progress] users 84% inserindo (53/64)
[progress] users 85% inserindo (54/64)
[progress] users 87% inserindo (55/64)
[progress] users 89% inserindo (56/64)
[progress] users 90% inserindo (57/64)
[progress] users 92% inserindo (58/64)
[progress] users 93% inserindo (59/64)
[progress] users 95% inserindo (60/64)
[progress] users 96% inserindo (61/64)
[progress] users 98% inserindo (62/64)
[progress] users 100% inserindo (63/64)
[progress] users 100% inserindo (64/64)
[progress] users 100% concluída
[ok] Migração concluída com sucesso.
[ok] Finalizado em 2.3s
