[info] Migrando 26 tabelas com concorrência=4...
[progress] agencies iniciando
[progress] agencies 0% iniciando
[progress] agencies 1% dump (mysqldump)
[progress] alerts iniciando
[progress] alerts 0% iniciando
[progress] alerts 1% dump (mysqldump)
[progress] cities iniciando
[progress] cities 0% iniciando
[progress] cities 1% dump (mysqldump)
[progress] commerce_committee_taxes iniciando
[progress] commerce_committee_taxes 0% iniciando
[progress] commerce_committee_taxes 1% dump (mysqldump)
[progress] agencies 1% preparando schema
[progress] alerts 1% preparando schema
[progress] commerce_committee_taxes 1% preparando schema
[progress] cities 1% preparando schema
[progress] agencies 66% inserindo (1/3)
[progress] agencies 100% inserindo (2/3)
[progress] agencies 100% inserindo (3/3)
[progress] alerts 1% inserindo (1/181)
[progress] agencies 100% concluída
[progress] deadlines iniciando
[progress] deadlines 0% iniciando
[progress] deadlines 1% dump (mysqldump)
[progress] alerts 1% inserindo (2/181)
[progress] commerce_committee_taxes 0% inserindo (1/947)
[progress] alerts 2% inserindo (3/181)
[progress] commerce_committee_taxes 0% inserindo (2/947)
[progress] alerts 2% inserindo (4/181)
[progress] commerce_committee_taxes 0% inserindo (3/947)
[progress] alerts 3% inserindo (5/181)
[progress] cities 0% inserindo (1/5569)
[progress] commerce_committee_taxes 0% inserindo (4/947)
[progress] alerts 3% inserindo (6/181)
[progress] cities 0% inserindo (2/5569)
[progress] commerce_committee_taxes 0% inserindo (5/947)
[progress] alerts 4% inserindo (7/181)
[progress] cities 0% inserindo (3/5569)
[progress] commerce_committee_taxes 0% inserindo (6/947)
[progress] alerts 4% inserindo (8/181)
[progress] cities 0% inserindo (4/5569)
[progress] commerce_committee_taxes 0% inserindo (7/947)
[progress] alerts 5% inserindo (9/181)
[progress] cities 0% inserindo (5/5569)
[progress] commerce_committee_taxes 0% inserindo (8/947)
[progress] alerts 6% inserindo (10/181)
[progress] cities 0% inserindo (6/5569)
[progress] commerce_committee_taxes 1% inserindo (9/947)
[progress] alerts 6% inserindo (11/181)
[progress] cities 0% inserindo (7/5569)
[progress] commerce_committee_taxes 1% inserindo (10/947)
[progress] alerts 7% inserindo (12/181)
[progress] cities 0% inserindo (8/5569)
[progress] commerce_committee_taxes 1% inserindo (11/947)
[progress] alerts 7% inserindo (13/181)
[progress] cities 0% inserindo (9/5569)
[progress] commerce_committee_taxes 1% inserindo (12/947)
[progress] alerts 8% inserindo (14/181)
[progress] cities 0% inserindo (10/5569)
[progress] commerce_committee_taxes 1% inserindo (13/947)
[progress] alerts 8% inserindo (15/181)
[progress] cities 0% inserindo (11/5569)
[progress] commerce_committee_taxes 1% inserindo (14/947)
[progress] alerts 9% inserindo (16/181)
[progress] cities 0% inserindo (12/5569)
[progress] deadlines 1% preparando schema
[progress] commerce_committee_taxes 1% inserindo (15/947)
[progress] alerts 9% inserindo (17/181)
[progress] cities 0% inserindo (13/5569)
[progress] commerce_committee_taxes 1% inserindo (16/947)
[progress] cities 0% inserindo (14/5569)
[progress] alerts 10% inserindo (18/181)
[progress] commerce_committee_taxes 1% inserindo (17/947)
[progress] cities 0% inserindo (15/5569)
[progress] alerts 11% inserindo (19/181)
[progress] commerce_committee_taxes 2% inserindo (18/947)
[progress] cities 0% inserindo (16/5569)
[progress] alerts 11% inserindo (20/181)
[progress] commerce_committee_taxes 2% inserindo (19/947)
[progress] cities 0% inserindo (17/5569)
[progress] alerts 12% inserindo (21/181)
[progress] commerce_committee_taxes 2% inserindo (20/947)
[progress] alerts 12% inserindo (22/181)
[progress] commerce_committee_taxes 2% inserindo (21/947)
[progress] alerts 13% inserindo (23/181)
[progress] cities 0% inserindo (18/5569)
[progress] commerce_committee_taxes 2% inserindo (22/947)
[progress] alerts 13% inserindo (24/181)
[progress] cities 0% inserindo (19/5569)
[progress] commerce_committee_taxes 2% inserindo (23/947)
[progress] alerts 14% inserindo (25/181)
[progress] cities 0% inserindo (20/5569)
[progress] commerce_committee_taxes 2% inserindo (24/947)
[progress] cities 0% inserindo (21/5569)
[progress] alerts 14% inserindo (26/181)
[progress] commerce_committee_taxes 2% inserindo (25/947)
[progress] cities 0% inserindo (22/5569)
[progress] commerce_committee_taxes 2% inserindo (26/947)
[progress] alerts 15% inserindo (27/181)
[progress] deadlines 0% inserindo (1/1207)
[progress] cities 0% inserindo (23/5569)
[progress] commerce_committee_taxes 2% inserindo (27/947)
[progress] alerts 16% inserindo (28/181)
[progress] deadlines 0% inserindo (2/1207)
[progress] cities 0% inserindo (24/5569)
[progress] commerce_committee_taxes 3% inserindo (28/947)
[progress] alerts 16% inserindo (29/181)
[progress] deadlines 0% inserindo (3/1207)
[progress] cities 0% inserindo (25/5569)
[progress] commerce_committee_taxes 3% inserindo (29/947)
[progress] alerts 17% inserindo (30/181)
[progress] deadlines 0% inserindo (4/1207)
[progress] cities 0% inserindo (26/5569)
[progress] commerce_committee_taxes 3% inserindo (30/947)
[progress] alerts 17% inserindo (31/181)
[progress] deadlines 0% inserindo (5/1207)
[progress] commerce_committee_taxes 3% inserindo (31/947)
[progress] cities 0% inserindo (27/5569)
[progress] alerts 18% inserindo (32/181)
[progress] deadlines 0% inserindo (6/1207)
[progress] commerce_committee_taxes 3% inserindo (32/947)
[progress] cities 0% inserindo (28/5569)
[progress] alerts 18% inserindo (33/181)
[progress] deadlines 0% inserindo (7/1207)
[progress] commerce_committee_taxes 3% inserindo (33/947)
[progress] cities 0% inserindo (29/5569)
[progress] alerts 19% inserindo (34/181)
[progress] deadlines 0% inserindo (8/1207)
[progress] commerce_committee_taxes 3% inserindo (34/947)
[progress] cities 0% inserindo (30/5569)
[progress] alerts 19% inserindo (35/181)
[progress] deadlines 0% inserindo (9/1207)
[progress] commerce_committee_taxes 3% inserindo (35/947)
[progress] cities 0% inserindo (31/5569)
[progress] alerts 20% inserindo (36/181)
[progress] commerce_committee_taxes 3% inserindo (36/947)
[progress] deadlines 0% inserindo (10/1207)
[progress] cities 0% inserindo (32/5569)
[progress] alerts 20% inserindo (37/181)
[progress] commerce_committee_taxes 4% inserindo (37/947)
[progress] deadlines 0% inserindo (11/1207)
[progress] cities 0% inserindo (33/5569)
[progress] alerts 21% inserindo (38/181)
[progress] commerce_committee_taxes 4% inserindo (38/947)
[progress] deadlines 1% inserindo (12/1207)
[progress] cities 0% inserindo (34/5569)
[progress] alerts 22% inserindo (39/181)
[progress] commerce_committee_taxes 4% inserindo (39/947)
[progress] deadlines 1% inserindo (13/1207)
[progress] cities 0% inserindo (35/5569)
[progress] alerts 22% inserindo (40/181)
[progress] commerce_committee_taxes 4% inserindo (40/947)
[progress] deadlines 1% inserindo (14/1207)
[progress] cities 0% inserindo (36/5569)
[progress] alerts 23% inserindo (41/181)
